gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000010322,1,0,0,0,21.5,0.00201556616456999,0.978292110183744,0.871658814183694,0.517919858484469
ENSG00000103051,1,0,0,0,18.2,0.00201556616456999,0.978292110183744,0.871658814183694,0.63259090685501
ENSG00000135473,1,0,0,0,41.7,0.00201556616456999,0.978292110183744,0.871658814183694,0.0397653216248259
ENSG00000160695,1,0,0,0,22.6,0.00201556616456999,0.978292110183744,0.871658814183694,0.47886739582233
ENSG00000188747,1,0,0,0,35.6,0.00201556616456999,0.978292110183744,0.871658814183694,0.113072313051137
ENSG00000103254,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.3,20.7,0.00364217228998909,0.964373350585855,0.864419808366297,0.546235268758444
ENSG00000103260,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.3,27.2,0.00364217228998909,0.964373350585855,0.864419808366297,0.321853693589061
ENSG00000111271,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.1,30.6,0.00364217228998909,0.964373350585855,0.869276239835806,0.222072067738264
ENSG00000137070,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.2,54.5,0.00364217228998909,0.964373350585855,0.866863263366204,0.00190812478633318
ENSG00000141258,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.5,27.5,0.00364217228998909,0.964373350585855,0.859441191527545,0.312339556286092
ENSG00000160226,0.96551724137931,0,0.0344827586206896,0,28.3,0.00364217228998909,0.978292110183744,0.871658814183694,0.287585783029728
ENSG00000167702,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.3,34.4,0.00364217228998909,0.964373350585855,0.864419808366297,0.134901282381608
ENSG00000170145,0.96551724137931,0,0.0344827586206896,0,18.3,0.00364217228998909,0.978292110183744,0.871658814183694,0.629232231966353
ENSG00000198276,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.4,27.6,0.00364217228998909,0.964373350585855,0.861945805282182,0.309195369310637
ENSG00000204852,0.96551724137931,0.0344827586206897,-4.16333634234434e-17,0.2,49.7,0.00364217228998909,0.964373350585855,0.866863263366204,0.0068385598092825
ENSG00000076321,0.931034482758621,0.0689655172413793,2.77555756156289e-17,0.8,29.2,0.00636204249060557,0.943860408768922,0.851743167200862,0.260899130430392
ENSG00000080823,0.931034482758621,0.0689655172413793,2.77555756156289e-17,0.8,48.2,0.00636204249060557,0.943860408768922,0.851743167200862,0.00984790740745456
ENSG00000103150,0.931034482758621,0.0344827586206897,0.0344827586206897,0.1,41.2,0.00636204249060557,0.964373350585855,0.869276239835806,0.0437345239544579
ENSG00000119699,0.931034482758621,0.0344827586206897,0.0344827586206897,0.3,56.7,0.00636204249060557,0.964373350585855,0.864419808366297,0.00100475254795818
ENSG00000120784,0.931034482758621,0.0344827586206897,0.0344827586206897,0.6,45.1,0.00636204249060557,0.964373350585855,0.856905911594406,0.0198860351879778
ENSG00000124587,0.931034482758621,0.0344827586206897,0.0344827586206897,0.2,22.2,0.00636204249060557,0.964373350585855,0.866863263366204,0.493064538206109
ENSG00000138002,0.931034482758621,0.0689655172413793,2.77555756156289e-17,0.8,45.3,0.00636204249060557,0.943860408768922,0.851743167200862,0.0190436575064855
ENSG00000138131,0.931034482758621,0.0689655172413793,2.77555756156289e-17,0.7,67.7,0.00636204249060557,0.943860408768922,0.854339917161592,2.36966710326358e-05
ENSG00000145217,0.931034482758621,0.0344827586206897,0.0344827586206897,0.6,53.7,0.00636204249060557,0.964373350585855,0.856905911594406,0.00238817701600713
ENSG00000166341,0.931034482758621,0.0689655172413793,2.77555756156289e-17,0.9,50.6,0.00636204249060557,0.943860408768922,0.849115628080567,0.00545203787497939
ENSG00000167113,0.931034482758621,0.0344827586206897,0.0344827586206897,0.7,17.2,0.00636204249060557,0.964373350585855,0.854339917161592,0.665583610597457
ENSG00000172663,0.931034482758621,0,0.0689655172413793,0,23.3,0.00636204249060557,0.978292110183744,0.871658814183694,0.454097558039466
ENSG00000173137,0.931034482758621,0,0.0689655172413793,0,33.6,0.00636204249060557,0.978292110183744,0.871658814183694,0.150966835101859
ENSG00000174080,0.931034482758621,0.0689655172413793,2.77555756156289e-17,0.4,56.3,0.00636204249060557,0.943860408768922,0.861945805282182,0.00113202577569693
ENSG00000175309,0.931034482758621,0.0344827586206897,0.0344827586206897,0.7,24.4,0.00636204249060557,0.964373350585855,0.854339917161592,0.415567802366958
ENSG00000180096,0.931034482758621,0.0344827586206897,0.0344827586206897,0.3,31,0.00636204249060557,0.964373350585855,0.864419808366297,0.211616522031334
ENSG00000181035,0.931034482758621,0.0689655172413793,2.77555756156289e-17,0.2,43.2,0.00636204249060557,0.943860408768922,0.866863263366204,0.0295830747128896
ENSG00000183020,0.931034482758621,0.0344827586206897,0.0344827586206897,0.4,34.2,0.00636204249060557,0.964373350585855,0.861945805282182,0.138803236678165
ENSG00000196605,0.931034482758621,0.0344827586206897,0.0344827586206897,0.3,23.7,0.00636204249060557,0.964373350585855,0.864419808366297,0.44001692663126
ENSG00000197150,0.931034482758621,0.0344827586206897,0.0344827586206897,0.1,29.6,0.00636204249060557,0.964373350585855,0.869276239835806,0.249461032045649
