gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000147650,0,0.977272727272727,0.0227272727272727,46.1,0,0.993167431608772,0.000245053625954284,0.00120061182863807,0.972469436082477
ENSG00000129292,0.0454545454545455,0.954545454545455,0,29.9,1.5,0.986069499880321,0.000379804268474282,0.0654330077493909,0.964685881275449
ENSG00000125676,0.0454545454545455,0.931818181818182,0.0227272727272728,30.8,0.4,0.986069499880321,0.000580870008103696,0.0553105114754527,0.970548593690211
ENSG00000102218,0.0454545454545455,0.909090909090909,0.0454545454545455,33.3,0.3,0.986069499880321,0.000876673110756343,0.0335711568270811,0.971038942132216
ENSG00000152484,0.0454545454545455,0.909090909090909,0.0454545454545455,46.2,1.2,0.986069499880321,0.000876673110756343,0.00116366792133615,0.966372562796008
ENSG00000155975,0.0909090909090909,0.909090909090909,0,34,1.4,0.973352852993759,0.000876673110756343,0.0289398711856356,0.965255655597357
ENSG00000172466,0.0909090909090909,0.909090909090909,0,36.5,1.3,0.973352852993759,0.000876673110756343,0.0165067189185617,0.965817859280743
ENSG00000134318,0.113636363636364,0.886363636363636,0,42.3,2.6,0.964004411229948,0.00130573979694815,0.00370488466941055,0.957898446052294
ENSG00000198160,0.0454545454545455,0.886363636363636,0.0681818181818182,33,1.1,0.986069499880321,0.00130573979694815,0.0357347427219289,0.966919836482495
ENSG00000110330,0.0909090909090909,0.863636363636364,0.0454545454545454,26.7,0.9,0.973352852993759,0.00191936656024005,0.113236168970913,0.967992375013617
ENSG00000115966,0.0909090909090909,0.863636363636364,0.0454545454545454,35.5,1.9,0.973352852993759,0.00191936656024005,0.0207852217830461,0.962329664160188
ENSG00000115993,0.0681818181818182,0.863636363636364,0.0681818181818182,27.6,2.5,0.980580251376621,0.00191936656024005,0.0977967206866498,0.958556175813516
ENSG00000116747,0.113636363636364,0.863636363636364,0.0227272727272727,22.1,0.5,0.964004411229948,0.00191936656024005,0.21872054083541,0.970051372294187
ENSG00000122257,0.113636363636364,0.863636363636364,0.0227272727272727,21,2,0.964004411229948,0.00191936656024005,0.250478665627318,0.961720975696717
ENSG00000138071,0.0909090909090909,0.863636363636364,0.0454545454545454,15.8,3.6,0.973352852993759,0.00191936656024005,0.427189187616217,0.950846155068829
ENSG00000143514,0.136363636363636,0.863636363636364,0,36.2,2.9,0.952125282311031,0.00191936656024005,0.0177030818782906,0.955874435168557
ENSG00000151414,0.113636363636364,0.863636363636364,0.0227272727272727,31.9,5.8,0.964004411229948,0.00191936656024005,0.044664736853592,0.932019057882709
ENSG00000162734,0.0909090909090909,0.863636363636364,0.0454545454545454,29.6,4.8,0.973352852993759,0.00191936656024005,0.0691092129617955,0.941171878053725
ENSG00000162852,0.136363636363636,0.863636363636364,0,34.8,1.7,0.952125282311031,0.00191936656024005,0.0243100814351998,0.963523338238072
ENSG00000164823,0.136363636363636,0.863636363636364,0,42,5.3,0.952125282311031,0.00191936656024005,0.00402927656789243,0.936724228085494
ENSG00000187231,0.136363636363636,0.863636363636364,0,33.5,3.1,0.952125282311031,0.00191936656024005,0.0321895640940697,0.954482031304181
ENSG00000110696,0.136363636363636,0.840909090909091,0.0227272727272727,27.3,4.8,0.952125282311031,0.00278461578616818,0.102761741414685,0.941171878053725
ENSG00000115504,0.159090909090909,0.840909090909091,0,29.8,5.7,0.937296069252897,0.00278461578616818,0.066641171233868,0.932981088893449
ENSG00000117475,0.113636363636364,0.840909090909091,0.0454545454545454,45,1.6,0.964004411229948,0.00278461578616818,0.00168403517314752,0.964108465723351
ENSG00000123091,0.136363636363636,0.840909090909091,0.0227272727272727,27.4,2.8,0.952125282311031,0.00278461578616818,0.101086778929898,0.956557646946252
ENSG00000124151,0.113636363636364,0.840909090909091,0.0454545454545454,28.1,2.9,0.964004411229948,0.00278461578616818,0.0899162647945424,0.955874435168557
ENSG00000153317,0.136363636363636,0.840909090909091,0.0227272727272727,33.5,3.4,0.952125282311031,0.00278461578616818,0.0321895640940697,0.952327408700862
ENSG00000173960,0.0909090909090909,0.840909090909091,0.0681818181818181,20,3.5,0.973352852993759,0.00278461578616818,0.281342043727811,0.951591312924926
ENSG00000182287,0.159090909090909,0.840909090909091,0,38,5.9,0.937296069252897,0.00278461578616818,0.0115098619580016,0.931046398817622
ENSG00000184743,0.159090909090909,0.840909090909091,0,29.9,3,0.937296069252897,0.00278461578616818,0.0654330077493909,0.955182586997944
ENSG00000185947,0.113636363636364,0.840909090909091,0.0454545454545454,46.6,4,0.964004411229948,0.00278461578616818,0.00102606902954649,0.947773492827375
ENSG00000004897,0.159090909090909,0.818181818181818,0.0227272727272727,31.2,4.3,0.937296069252897,0.00398753255402307,0.0512284020603044,0.945370399454235
ENSG00000083312,0.0681818181818182,0.818181818181818,0.113636363636364,34.8,2.5,0.980580251376621,0.00398753255402307,0.0243100814351998,0.958556175813516
ENSG00000085832,0.136363636363636,0.818181818181818,0.0454545454545454,30.7,1,0.952125282311031,0.00398753255402307,0.0563701611291316,0.967459750538864
ENSG00000101901,0.181818181818182,0.818181818181818,-1.11022302462516e-16,30.6,5.8,0.919109961517152,0.00398753255402307,0.0574457479489352,0.932019057882709
ENSG00000108510,0.136363636363636,0.818181818181818,0.0454545454545454,35.9,6,0.952125282311031,0.00398753255402307,0.0189726601739132,0.930063047682132
ENSG00000112851,0.0681818181818182,0.818181818181818,0.113636363636364,35.9,1.7,0.980580251376621,0.00398753255402307,0.0189726601739132,0.963523338238072
ENSG00000116266,0.136363636363636,0.818181818181818,0.0454545454545454,30,1.6,0.952125282311031,0.00398753255402307,0.0642419019415372,0.964108465723351
ENSG00000119862,0.181818181818182,0.818181818181818,-1.11022302462516e-16,41.6,3.8,0.919109961517152,0.00398753255402307,0.00450128268106864,0.949328370832161
ENSG00000131725,0.0681818181818182,0.818181818181818,0.113636363636364,34.2,4.2,0.980580251376621,0.00398753255402307,0.0277186779166618,0.946180960436088
ENSG00000137710,0.136363636363636,0.818181818181818,0.0454545454545454,47.3,2.3,0.952125282311031,0.00398753255402307,0.000820642022633544,0.959846651914813
ENSG00000137942,0.136363636363636,0.818181818181818,0.0454545454545454,39.4,3.3,0.952125282311031,0.00398753255402307,0.00808884481195715,0.953054513120268
ENSG00000149231,0.136363636363636,0.818181818181818,0.0454545454545454,46.1,1.1,0.952125282311031,0.00398753255402307,0.00120061182863807,0.966919836482495
ENSG00000169504,0.136363636363636,0.818181818181818,0.0454545454545454,60.5,3.7,0.952125282311031,0.00398753255402307,5.64368370192803e-06,0.95009186452844
ENSG00000170242,0.136363636363636,0.818181818181818,0.0454545454545454,26.8,2.9,0.952125282311031,0.00398753255402307,0.111439459459492,0.955874435168557
ENSG00000186063,0.0227272727272727,0.818181818181818,0.159090909090909,37,0.1,0.990165235501347,0.00398753255402307,0.014666492762632,0.971999294916864
ENSG00000009307,0.0909090909090909,0.795454545454545,0.113636363636364,23.5,2.5,0.973352852993759,0.00563640619057682,0.18186081847054,0.958556175813516
