gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000020256,1,0,0,0,28.4,0.00262581180464172,0.961846922298445,0.89080409551403,0.0464887036668716
ENSG00000100442,1,0,0,0,14.5,0.00262581180464172,0.961846922298445,0.89080409551403,0.535842323369586
ENSG00000103707,1,0,0,0,24.6,0.00262581180464172,0.961846922298445,0.89080409551403,0.115838570560568
ENSG00000119203,1,0,0,0,18.2,0.00262581180464172,0.961846922298445,0.89080409551403,0.351546130627824
ENSG00000131558,1,0,0,0,16.2,0.00262581180464172,0.961846922298445,0.89080409551403,0.449670737817696
ENSG00000133195,1,0,0,0,28.2,0.00262581180464172,0.961846922298445,0.89080409551403,0.0490199745221577
ENSG00000138777,1,0,0,0,22.5,0.00262581180464172,0.961846922298445,0.89080409551403,0.176532492893566
ENSG00000144283,1,0,0,0,11.9,0.00262581180464172,0.961846922298445,0.89080409551403,0.663128954342977
ENSG00000160049,1,0,0,0,25.3,0.00262581180464172,0.961846922298445,0.89080409551403,0.0993647883168511
ENSG00000164494,1,0,0,0,26.7,0.00262581180464172,0.961846922298445,0.89080409551403,0.0716736627687777
ENSG00000167969,1,0,0,0,18.7,0.00262581180464172,0.961846922298445,0.89080409551403,0.328227212920744
ENSG00000173614,1,0,0,0,26.3,0.00262581180464172,0.961846922298445,0.89080409551403,0.0789002740280996
ENSG00000178952,1,0,0,0,13.9,0.00262581180464172,0.961846922298445,0.89080409551403,0.566063758108395
ENSG00000011143,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,27.8,0.00543718303669905,0.933826142076294,0.887828106628388,0.0544121708556198
ENSG00000069275,0.952380952380952,0,0.0476190476190477,0,22.1,0.00543718303669905,0.961846922298445,0.89080409551403,0.190045299147224
ENSG00000087299,0.952380952380952,0,0.0476190476190477,0,32.9,0.00543718303669905,0.961846922298445,0.89080409551403,0.0121335651174045
ENSG00000094914,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.3,20.3,0.00543718303669905,0.933826142076294,0.881703207168219,0.258318294275431
ENSG00000094916,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.2,21.5,0.00543718303669905,0.933826142076294,0.884794591957991,0.211469594833792
ENSG00000100889,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,30.7,0.00543718303669905,0.933826142076294,0.887828106628388,0.0242619407846515
ENSG00000101138,0.952380952380952,0,0.0476190476190477,0,17,0.00543718303669905,0.961846922298445,0.89080409551403,0.409684826652165
ENSG00000103423,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,21.5,0.00543718303669905,0.933826142076294,0.887828106628388,0.211469594833792
ENSG00000103550,0.952380952380952,0,0.0476190476190477,0,20.7,0.00543718303669905,0.961846922298445,0.89080409551403,0.242129189463543
ENSG00000105438,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.3,16,0.00543718303669905,0.933826142076294,0.881703207168219,0.459764259531876
ENSG00000106049,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.2,22.1,0.00543718303669905,0.933826142076294,0.884794591957991,0.190045299147224
ENSG00000113048,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,18.2,0.00543718303669905,0.933826142076294,0.887828106628388,0.351546130627824
ENSG00000115204,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,14.9,0.00543718303669905,0.933826142076294,0.887828106628388,0.515568092003795
ENSG00000116353,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,18.9,0.00543718303669905,0.933826142076294,0.887828106628388,0.319077747577892
ENSG00000119977,0.952380952380952,0,0.0476190476190477,0,21.4,0.00543718303669905,0.961846922298445,0.89080409551403,0.215173012165612
ENSG00000122687,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.2,17.9,0.00543718303669905,0.933826142076294,0.884794591957991,0.365817612152898
ENSG00000125449,0.952380952380952,0,0.0476190476190477,0,9.7,0.00543718303669905,0.961846922298445,0.89080409551403,0.758392090309592
ENSG00000125458,0.952380952380952,0,0.0476190476190477,0,10.2,0.00543718303669905,0.961846922298445,0.89080409551403,0.738092467419746
ENSG00000125611,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,20.4,0.00543718303669905,0.933826142076294,0.887828106628388,0.254219102582
ENSG00000127184,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.3,14,0.00543718303669905,0.933826142076294,0.881703207168219,0.561048734042732
ENSG00000128039,0.952380952380952,0,0.0476190476190477,0,31.2,0.00543718303669905,0.961846922298445,0.89080409551403,0.0208543214097913
ENSG00000135390,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.3,17.6,0.00543718303669905,0.933826142076294,0.881703207168219,0.380277259880075
ENSG00000135972,0.952380952380952,0,0.0476190476190477,0,18.4,0.00543718303669905,0.961846922298445,0.89080409551403,0.342145312722195
ENSG00000138363,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,18.7,0.00543718303669905,0.933826142076294,0.887828106628388,0.328227212920744
ENSG00000138780,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.1,24,0.00543718303669905,0.933826142076294,0.887828106628388,0.131430858410298
ENSG00000139168,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.3,24.4,0.00543718303669905,0.933826142076294,0.881703207168219,0.120882989705037
ENSG00000140990,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.3,17.3,0.00543718303669905,0.933826142076294,0.881703207168219,0.394906196363657
ENSG00000143379,0.952380952380952,0.0476190476190476,5.55111512312578e-17,0.2,12.3,0.00543718303669905,0.933826142076294,0.884794591957991,0.644340990360495
