gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000172340,0.870689655172414,0.0948275862068965,0.0344827586206896,9.1,105.2,0.000814449730993649,0.933070322798298,0.83172976630839,0.00100260844654587
ENSG00000119711,0.853448275862069,0.103448275862069,0.0431034482758621,9.5,127.5,0.00115315500755953,0.92452594150834,0.826261289515245,1.45121358833267e-05
ENSG00000078070,0.836206896551724,0.0862068965517242,0.0775862068965518,3.7,88.5,0.00161666557347317,0.940846521816014,0.894655841558417,0.0115422377232891
ENSG00000198130,0.827586206896552,0.137931034482759,0.0344827586206897,10.7,90.9,0.00190713746800197,0.881938440901819,0.809186994771643,0.00843548000297789
ENSG00000155008,0.810344827586207,0.137931034482759,0.0517241379310345,12.4,79.3,0.00263455059793727,0.881938440901819,0.783304686538934,0.0342490589067367
ENSG00000027001,0.801724137931035,0.120689655172414,0.0775862068965517,12.3,82.4,0.00308512947742057,0.904980150652741,0.784881223721073,0.0242219668355869
ENSG00000090863,0.801724137931035,0.172413793103448,0.0258620689655172,13.5,83.1,0.00308512947742057,0.824660992524011,0.765527275710041,0.0223367038624875
ENSG00000007202,0.793103448275862,0.129310344827586,0.0775862068965517,7.1,79.3,0.00360395605051056,0.893910703347692,0.857391266224202,0.0342490589067367
ENSG00000140526,0.793103448275862,0.137931034482759,0.0689655172413793,9,91.4,0.00360395605051056,0.881938440901819,0.833079395976973,0.00788962699473705
ENSG00000166260,0.793103448275862,0.120689655172414,0.0862068965517241,8,64.6,0.00360395605051056,0.904980150652741,0.846190327845244,0.135190375880461
ENSG00000075239,0.78448275862069,0.172413793103448,0.0431034482758621,13.2,96.6,0.00419978485851646,0.824660992524011,0.770454131409451,0.00380943438423664
ENSG00000114054,0.78448275862069,0.137931034482759,0.0775862068965518,6.1,74.8,0.00419978485851646,0.881938440901819,0.869174291546274,0.0546384627632882
ENSG00000145781,0.78448275862069,0.155172413793103,0.0603448275862069,7.8,65.2,0.00419978485851646,0.855200992350919,0.848728413249364,0.12891084542705
ENSG00000115685,0.775862068965517,0.120689655172414,0.103448275862069,5,73.5,0.00488223147978228,0.904980150652741,0.881338271769596,0.0620463461335222
ENSG00000119471,0.775862068965517,0.146551724137931,0.0775862068965517,8,86.1,0.00488223147978228,0.869040785201559,0.846190327845244,0.0155981620812139
ENSG00000136636,0.775862068965517,0.163793103448276,0.0603448275862069,13.7,97,0.00488223147978228,0.840408796108836,0.76221047210186,0.00359312000653078
ENSG00000140718,0.775862068965517,0.155172413793103,0.0689655172413793,11.5,84.6,0.00488223147978228,0.855200992350919,0.79725170343206,0.0187106351463839
ENSG00000153015,0.775862068965517,0.0862068965517242,0.137931034482759,7.8,85.7,0.00488223147978228,0.940846521816014,0.848728413249364,0.0163813046141683
ENSG00000186350,0.775862068965517,0.198275862068966,0.0258620689655172,14.9,80.7,0.00488223147978228,0.771767891767627,0.741779679924724,0.0293627712514188
ENSG00000213463,0.775862068965517,0.181034482758621,0.0431034482758621,10.3,89.1,0.00488223147978228,0.807961949694012,0.814989492291295,0.0106844524449342
ENSG00000100577,0.767241379310345,0.163793103448276,0.0689655172413793,11.7,77.4,0.0056618170349183,0.840408796108836,0.79419960665323,0.0419300238751069
ENSG00000109911,0.767241379310345,0.181034482758621,0.0517241379310345,2.7,80.7,0.0056618170349183,0.807961949694012,0.904138571388202,0.0293627712514188
ENSG00000117118,0.767241379310345,0.0948275862068965,0.137931034482759,5.8,50.4,0.0056618170349183,0.933070322798298,0.872574116880335,0.341956149185382
ENSG00000138604,0.767241379310345,0.146551724137931,0.0862068965517241,7.4,107.2,0.0056618170349183,0.869040785201559,0.853720566530367,0.000717905285848697
ENSG00000139531,0.767241379310345,0.146551724137931,0.0862068965517241,10.9,83.7,0.0056618170349183,0.869040785201559,0.806244331487932,0.0208207507869996
ENSG00000142856,0.767241379310345,0.206896551724138,0.0258620689655172,13.2,90.3,0.0056618170349183,0.752322714619412,0.770454131409451,0.00913403536828183
ENSG00000148090,0.767241379310345,0.206896551724138,0.0258620689655172,10.2,77.2,0.0056618170349183,0.752322714619412,0.816422807113824,0.042813936483276
ENSG00000175087,0.767241379310345,0.103448275862069,0.129310344827586,3.8,84.5,0.0056618170349183,0.92452594150834,0.893671494185519,0.0189357268145447
