gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000176170,0.155172413793103,0.75,0.0948275862068966,108.4,16.4,0.869648556903982,0.000521536925128352,5.83297906797675e-06,0.895639108794511
ENSG00000185338,0.163793103448276,0.75,0.0862068965517242,114,22,0.858413872422237,0.000521536925128352,1.39873728521867e-06,0.837191711872168
ENSG00000107968,0.181034482758621,0.732758620689655,0.0862068965517242,131.1,27.4,0.834026187490389,0.000808245976771538,1.03795773087612e-08,0.763826143487717
ENSG00000130066,0.21551724137931,0.724137931034483,0.060344827586207,82.6,24,0.777612371532093,0.00100061415634123,0.00137191122189939,0.811944940535588
ENSG00000124762,0.206896551724138,0.71551724137931,0.0775862068965517,81.2,30.6,0.792654223777144,0.00123421211449537,0.00175175573684294,0.712952928895339
ENSG00000102265,0.25,0.706896551724138,0.0431034482758621,91.1,29.2,0.711615489184413,0.00151675807860363,0.000277629575079819,0.735835459227469
ENSG00000167550,0.137931034482759,0.706896551724138,0.155172413793103,88.9,29.6,0.890230216595563,0.00151675807860363,0.000427782136505406,0.729393492045907
ENSG00000056558,0.21551724137931,0.698275862068966,0.0862068965517242,102.2,35.7,0.777612371532093,0.00185716112082879,2.56057883769589e-05,0.622631485664359
ENSG00000087074,0.232758620689655,0.698275862068966,0.0689655172413793,116.8,32.8,0.745736285109062,0.00185716112082879,6.62843360310639e-07,0.675210597068308
ENSG00000111252,0.21551724137931,0.698275862068966,0.0862068965517242,59.1,27.8,0.777612371532093,0.00185716112082879,0.0417975996945773,0.757750662064236
ENSG00000154640,0.25,0.698275862068966,0.0517241379310345,84.8,24,0.711615489184413,0.00185716112082879,0.000924465046606704,0.811944940535588
ENSG00000161011,0.224137931034483,0.698275862068966,0.0775862068965517,59.7,25.8,0.761966765413544,0.00185716112082879,0.0389931886423311,0.787268842028239
ENSG00000181104,0.224137931034483,0.698275862068966,0.0775862068965517,63.1,27.3,0.761966765413544,0.00185716112082879,0.0258577800910369,0.765331793997696
ENSG00000184205,0.146551724137931,0.698275862068966,0.155172413793103,68.3,9.6,0.880250980257362,0.00185716112082879,0.0130278438152922,0.944074890694481
ENSG00000197122,0.189655172413793,0.698275862068966,0.112068965517241,81.6,9.6,0.820870440087705,0.00185716112082879,0.00163447835748087,0.944074890694481
ENSG00000131188,0.21551724137931,0.689655172413793,0.0948275862068966,90.4,36.2,0.777612371532093,0.00226565167276316,0.00031902734656708,0.613298144342765
