Identifier	COQ2	COQ4	COQ5	COQ6	COQ7	COQ8a	COQ8b	COQ9	PDSS1	PDSS2
AIFM1	1	0	0	0	0	0	0	0	1	1
ANTKMT	0	0	0	1	0	0	1	1	0	0
ASAP1	0	0	1	0	0	0	1	1	0	0
C1orf112	1	0	0	1	0	0	0	0	1	0
CCS	1	1	0	0	1	0	0	0	0	0
COG4	0	0	0	1	0	0	1	1	0	0
CREBRF	1	0	1	0	0	0	0	0	1	0
CSAD	1	0	0	0	0	1	0	0	1	0
CTSF	0	0	0	1	0	1	1	0	1	0
DSE	0	1	0	1	0	1	0	0	0	0
ELF1	0	0	1	0	0	0	1	0	1	0
FH	1	0	0	0	1	0	0	0	1	0
HAT1	1	0	0	0	0	0	0	0	1	1
HGS	0	0	1	0	1	0	0	0	0	1
ITGB3BP	1	0	0	0	1	0	0	0	0	1
MRPS34	0	1	0	0	0	0	1	0	1	0
MYLIP	1	0	0	0	0	0	0	0	1	1
NISCH	0	0	0	1	0	0	1	1	1	0
PJA2	1	0	1	0	0	0	0	0	1	0
QKI	0	0	1	1	0	0	1	0	0	0
R3HDM4	0	0	1	1	1	0	0	0	0	0
RPA3	1	0	0	0	0	0	0	0	1	1
SAT1	1	0	0	1	0	0	0	0	0	1
SMOX	0	0	0	0	1	1	0	0	0	1
SRSF2	1	0	1	0	0	0	0	0	1	0
THAP7	0	1	0	0	0	0	1	1	0	0
TIPIN	1	0	0	0	1	0	0	0	1	0
TSPYL2	1	0	1	0	1	0	0	0	0	1
USP9X	0	0	1	1	0	0	1	0	0	0
YPEL5	1	0	1	0	0	0	0	0	1	0
ZNF267	0	0	0	1	0	0	1	1	0	0
