Gene stable ID	UniProtKB/Swiss-Prot ID
WBGene00000001	
WBGene00000002	
WBGene00000003	
WBGene00000004	
WBGene00000005	
WBGene00000006	
WBGene00000007	
WBGene00000008	
WBGene00000009	
WBGene00000010	
WBGene00000012	G5EGC4
WBGene00000013	G5EC68
WBGene00000014	
WBGene00000015	
WBGene00000016	
WBGene00000017	
WBGene00000018	P03949
WBGene00000019	
WBGene00000020	
WBGene00000022	
WBGene00000023	
WBGene00000024	
WBGene00000025	
WBGene00000027	
WBGene00000028	
WBGene00000029	
WBGene00000030	
WBGene00000031	
WBGene00000032	
WBGene00000033	
WBGene00000034	
WBGene00000035	P38433
WBGene00000036	
WBGene00000037	
WBGene00000038	
WBGene00000039	Q18581
WBGene00000040	Q23500
WBGene00000041	P34455
WBGene00000042	P48182
WBGene00000043	Q93149
WBGene00000044	P54246
WBGene00000045	
WBGene00000046	P45963
WBGene00000047	
WBGene00000048	
WBGene00000049	
WBGene00000050	
WBGene00000051	
WBGene00000053	
WBGene00000054	
WBGene00000055	P48180
WBGene00000056	
WBGene00000057	
WBGene00000058	
WBGene00000059	
WBGene00000060	
WBGene00000061	
WBGene00000062	G5EG88
WBGene00000062	
WBGene00000063	P0DM41
WBGene00000064	P10984
WBGene00000065	P0DM42
WBGene00000066	P10986
WBGene00000066	
WBGene00000067	
WBGene00000068	
WBGene00000069	
WBGene00000070	
WBGene00000071	
WBGene00000072	Q9U9K0
WBGene00000072	
WBGene00000073	Q20952
WBGene00000073	
WBGene00000074	
WBGene00000075	Q94316
WBGene00000079	Q9U3D6
WBGene00000080	Q22618
WBGene00000081	O45218
WBGene00000082	G5ECS8
WBGene00000083	Q19204
WBGene00000083	
WBGene00000084	G5EEU3
WBGene00000084	
WBGene00000085	G5ECD9
WBGene00000086	O02626
WBGene00000088	P91863
WBGene00000089	
WBGene00000090	Q94125
WBGene00000090	
WBGene00000092	
WBGene00000093	
WBGene00000094	
WBGene00000095	O02219
WBGene00000096	O44712
WBGene00000097	
WBGene00000098	
WBGene00000099	O01427
WBGene00000100	A0A1C3NSL9
WBGene00000100	
WBGene00000101	
WBGene00000102	Q17941
WBGene00000103	Q9XTG7
WBGene00000105	
WBGene00000106	
WBGene00000107	
WBGene00000108	
WBGene00000109	
WBGene00000110	
WBGene00000111	
WBGene00000112	
WBGene00000113	
WBGene00000114	P52713
WBGene00000114	
WBGene00000115	P46562
WBGene00000116	
WBGene00000117	
WBGene00000118	
WBGene00000120	
WBGene00000121	
WBGene00000122	
WBGene00000123	P16356
WBGene00000133	P54145
WBGene00000134	Q20605
WBGene00000135	Q21565
WBGene00000136	
WBGene00000137	Q21988
WBGene00000138	
WBGene00000139	
WBGene00000140	Q9N4M4
WBGene00000140	
WBGene00000142	Q17820
WBGene00000143	P34514
WBGene00000144	H2L2B8
WBGene00000145	Q20052
WBGene00000146	Q9XVN3
WBGene00000146	
