gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000048162,0.863192182410424,0.0977198697068404,0.0390879478827361,11.2,310.65,0.000415974425998722,0.892534729284776,0.878407148933911,1.61020426263647e-05
ENSG00000075131,0.859934853420196,0.0846905537459283,0.0553745928338762,12.8,374.3,0.000446159983276906,0.907674993411625,0.871062743964243,5.51570716877947e-08
ENSG00000123975,0.846905537459283,0.0879478827361564,0.0651465798045602,12.5,394.4,0.000588353184545865,0.904046761538772,0.872462750677346,7.03600278040284e-09
ENSG00000106462,0.840390879478827,0.120521172638437,0.0390879478827361,26.8,394.8,0.000674192615960356,0.861885784027797,0.793792065220717,6.74469979866643e-09
ENSG00000134057,0.8371335504886,0.0814332247557003,0.0814332247557003,13.2,484.1,0.000721315516950094,0.911200680974443,0.869179540997494,1.48880907602234e-13
ENSG00000149554,0.8371335504886,0.0716612377850163,0.0912052117263843,10.4,399.433333333333,0.000721315516950094,0.921175736629816,0.881966969885983,4.11755340934405e-09
ENSG00000100479,0.833876221498371,0.0846905537459283,0.0814332247557003,14.2,436.4,0.000771457914633289,0.907674993411625,0.864388653809319,6.28104235289584e-11
ENSG00000164611,0.833876221498371,0.104234527687296,0.0618892508143322,19.7,362.5,0.000771457914633289,0.884326350464275,0.835905059752391,1.74029649468999e-07
ENSG00000132646,0.830618892508143,0.136807817589577,0.0325732899022801,22.9,336.3,0.000824793016608649,0.83664604077772,0.817665028106823,1.90619437134831e-06
ENSG00000113368,0.827361563517915,0.0977198697068404,0.0749185667752443,24,457.4,0.000881502555644342,0.892534729284776,0.81111309319988,4.80204764841119e-12
ENSG00000073111,0.824104234527687,0.123778501628665,0.0521172638436482,16.2,413.3,0.00094177711707033,0.857063312422029,0.854449924544803,9.02481867015581e-10
ENSG00000119969,0.824104234527687,0.117263843648208,0.0586319218241042,21.3,408.1,0.00094177711707033,0.866596098620954,0.82693809320023,1.60606405952279e-09
ENSG00000171793,0.824104234527687,0.104234527687296,0.0716612377850163,12.8,335.9,0.00094177711707033,0.884326350464275,0.871062743964243,1.97382431665893e-06
ENSG00000143476,0.820846905537459,0.0749185667752443,0.104234527687296,17.1,584.1,0.00100581647300813,0.917949672173941,0.849821540180034,0
ENSG00000164134,0.820846905537459,0.117263843648208,0.0618892508143322,25.5,297.45,0.00100581647300813,0.866596098620954,0.801948210392402,4.45551782216613e-05
ENSG00000168411,0.820846905537459,0.130293159609121,0.0488599348534202,15.2,249.6,0.00100581647300813,0.847080536404589,0.859478932631754,0.00113370796685464
ENSG00000197299,0.820846905537459,0.11400651465798,0.0651465798045602,16.8,349.9,0.00100581647300813,0.871194716142797,0.85137511417119,5.6535215398057e-07
ENSG00000117399,0.817589576547231,0.0814332247557003,0.100977198697068,14.5,490.8,0.00107382992321303,0.911200680974443,0.862928237701541,6.0063065632221e-14
