Gene stable ID	Human gene stable ID	Human orthology confidence [0 low, 1 high]
FBgn0262374		
FBgn0265984		
FBgn0025637	ENSG00000113558	1
FBgn0029858	ENSG00000100890	0
FBgn0029858	ENSG00000258790	0
FBgn0044049		
FBgn0038461	ENSG00000104412	1
FBgn0035721		
FBgn0263473		
FBgn0040383	ENSG00000183032	0
FBgn0032728	ENSG00000103047	0
FBgn0039250		
FBgn0266167		
FBgn0267440		
FBgn0266535		
FBgn0030398		
FBgn0038223		
FBgn0082969		
FBgn0031866		
FBgn0266246		
FBgn0267627		
FBgn0266642		
FBgn0036799		
FBgn0013683		
FBgn0035692	ENSG00000115128	1
FBgn0054025		
FBgn0267606		
FBgn0261856		
FBgn0265532		
FBgn0042106		
FBgn0001124	ENSG00000169154	1
FBgn0001124	ENSG00000120053	1
FBgn0266621		
FBgn0053252		
FBgn0263832	ENSG00000187778	1
FBgn0011965		
FBgn0039719		
FBgn0029718		
FBgn0025832	ENSG00000168496	1
FBgn0050466		
FBgn0038627	ENSG00000168894	1
FBgn0086662		
FBgn0025866	ENSG00000182472	0
FBgn0025866	ENSG00000256812	0
FBgn0025866	ENSG00000203697	0
FBgn0025866	ENSG00000162949	0
FBgn0053012	ENSG00000099219	0
FBgn0036133	ENSG00000164180	1
FBgn0036133	ENSG00000064545	1
FBgn0264574		
FBgn0259186		
FBgn0053458	ENSG00000198670	0
FBgn0053458	ENSG00000237412	0
FBgn0019686	ENSG00000183765	1
FBgn0034795	ENSG00000112282	1
FBgn0033766	ENSG00000095319	0
FBgn0033766	ENSG00000251184	0
FBgn0029959		
FBgn0035321	ENSG00000008283	1
FBgn0035321	ENSG00000162144	1
FBgn0035321	ENSG00000071967	1
FBgn0053511		
FBgn0034275	ENSG00000181045	1
FBgn0050406		
FBgn0031835		
FBgn0259859		
FBgn0263987	ENSG00000121057	0
FBgn0032791	ENSG00000213965	0
FBgn0030625	ENSG00000119720	0
FBgn0266148		
FBgn0000316	ENSG00000171723	1
FBgn0038855		
FBgn0038221	ENSG00000204104	0
